Row	|	created_at	|	username	|	userid	|	tweet_id_str	|	in_reply_to_user_id	|	text	|	EndColumn
1	|	Tue Oct 03 15:10:34 +0000 2017	|	Senator Pat Toomey	|	221162525	|	915232616953114625	|	null	|	Bill Wolfe Jr. was a beloved husband &amp; coach. Losing him is a tragedy. Deepest condolences to his family, friends, &amp; the Ship community.	|	$#%
2	|	Tue Oct 03 15:11:09 +0000 2017	|	Senator Thom Tillis	|	2964174789	|	915232764408029185	|	null	|	Live: Senate Banking Committee with @WellsFargo CEO Tim Sloan. https://t.co/awf648OOqU	|	$#%
3	|	Tue Oct 03 15:12:17 +0000 2017	|	Senator Dick Durbin	|	247334603	|	915233048341426177	|	null	|	Happening now: Hearing on the future of #DACA recipients. Tune in to watch why we must pass the #DreamAct now → https://t.co/17Tcm7IWGe	|	$#%
4	|	Tue Oct 03 15:13:35 +0000 2017	|	Chuck Schumer	|	17494010	|	915233373265825792	|	17494010	|	@POTUS @realDonaldTrump .@realDonaldTrump it's time to stand up to the @NRA &amp; stand up for the over 30,000 American… https://t.co/iR91UbU7B9	|	$#%
5	|	Tue Oct 03 15:13:38 +0000 2017	|	Chris Van Hollen	|	18137749	|	915233386087813120	|	null	|	Tune in as I question Wells Fargo’s CEO, Timothy Sloan, at today’s Banking Committee Hearing.… https://t.co/KR08R6Nnd0	|	$#%
6	|	Tue Oct 03 15:15:51 +0000 2017	|	Martin Heinrich	|	1099199839	|	915233947101093891	|	null	|	Denisse Rojas Marquez is a #DREAMer &amp; med student. Watch Senate Judiciary Committee #DACA hearing to hear her story https://t.co/OLEix5Ec25	|	$#%
7	|	Tue Oct 03 15:17:32 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	915234370826522629	|	null	|	A sentimental replay of the Traveling Wilburys, in memoriam. https://t.co/apCSdPA5NJ	|	$#%
8	|	Tue Oct 03 15:21:20 +0000 2017	|	Sen Dianne Feinstein	|	476256944	|	915235325882093570	|	null	|	#DACA youth are living, working and being educated in California and throughout the country. They are American in e… https://t.co/W3Y7rFhxVn	|	$#%
9	|	Tue Oct 03 15:22:21 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	915235583269752832	|	null	|	If your #DACA status expires before 3/5/18, submit &amp; postmark your renewal application TODAY:… https://t.co/2karmRRotE	|	$#%
10	|	Tue Oct 03 15:22:48 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	915235694741803011	|	null	|	For questions, please contact my Manchester office at (603) 647-7500 https://t.co/c7zYcuSdZq	|	$#%
11	|	Tue Oct 03 15:25:34 +0000 2017	|	Senator Ben Cardin	|	109071031	|	915236388815212544	|	null	|	Commonsense measures with broad support. #GunSafety #NotOneMore 

https://t.co/URm0Hs1o6n	|	$#%
12	|	Tue Oct 03 15:25:46 +0000 2017	|	Kamala Harris	|	30354991	|	915236442099548160	|	null	|	Too many innocent lives have been lost. We cannot throw up our hands in despair. The time requires us to act. https://t.co/8YZJM6GB3H	|	$#%
13	|	Tue Oct 03 15:26:40 +0000 2017	|	Amy Klobuchar	|	33537967	|	915236668705247232	|	null	|	At Judiciary #DACA hearing. Fact: More than 97% of 800,000 dreamers (who were at avg 6 1/2yrs when arrived in U.S) are working or in school	|	$#%
14	|	Tue Oct 03 15:33:42 +0000 2017	|	Senator Joe Manchin	|	234374703	|	915238438110158851	|	null	|	I'm with @MineWorkers @SenCapito @RepMcKinley @PeterWelch to announce the American Miners Pension Act. WATCH LIVE:… https://t.co/3AJy8OSxKa	|	$#%
15	|	Tue Oct 03 15:35:01 +0000 2017	|	Leader McConnell	|	1249982359	|	915238768302546947	|	null	|	This morning I met w/ #PuertoRico &amp; #VirginIslands elected officials to discuss the ongoing relief effort and the r… https://t.co/YJ9tTUV6AV	|	$#%
16	|	Tue Oct 03 15:36:39 +0000 2017	|	Bernie Sanders	|	29442313	|	915239180783046656	|	null	|	LIVE: Join me and Chuck Collins of the Institute for Policy Studies about how we can create a more equal society:… https://t.co/bOalMxi702	|	$#%
17	|	Tue Oct 03 15:38:12 +0000 2017	|	Senator John Hoeven	|	382791093	|	915239571884998657	|	null	|	Through @librarycongress’ Surplus Books Program, my staff was able to send books to Standing Rock Elementary. https://t.co/MMh7zCAi7i	|	$#%
18	|	Tue Oct 03 15:39:04 +0000 2017	|	Sen. Heidi Heitkamp	|	1061029050	|	915239788294414337	|	null	|	Here's what I think would happen if there was a little more ND nice at North Shore High. #MeanGirlsDay https://t.co/fF48NnFzqo	|	$#%
19	|	Tue Oct 03 15:39:22 +0000 2017	|	Bernie Sanders	|	29442313	|	915239865603772416	|	null	|	“Unless you were alive during the 1920s, you haven’t seen inequality like this.” –Chuck Collins… https://t.co/84XPJ3dnnF	|	$#%
20	|	Tue Oct 03 15:40:09 +0000 2017	|	Senator Dick Durbin	|	247334603	|	915240060550832129	|	null	|	I introduced the #DreamAct 16 years ago — inspired by the story of Tereza Lee, the first Dreamer. https://t.co/zyclLC0M0H	|	$#%
21	|	Tue Oct 03 15:43:21 +0000 2017	|	Bernie Sanders	|	29442313	|	915240865894985729	|	null	|	If you are part of the 99.8%, you wouldn’t get a nickel if Republicans repeal the estate tax.… https://t.co/zBwRJovrEO	|	$#%
22	|	Tue Oct 03 15:44:35 +0000 2017	|	Senator Dick Durbin	|	247334603	|	915241176109867008	|	247334603	|	Tereza was a musical prodigy. Her parents brought her to the United States when she was two, but there was a problem: she was undocumented.	|	$#%
23	|	Tue Oct 03 15:45:50 +0000 2017	|	Senator Dick Durbin	|	247334603	|	915241491408330752	|	247334603	|	Young people like Tereza shouldn't have to live in fear in their own country. It's time to make the #DreamAct the law of the land.	|	$#%
24	|	Tue Oct 03 15:47:29 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	915241906333995009	|	null	|	Met w/ RI's Substance Use &amp; Mental Health Leadership Council who told me how important Medicaid expansion &amp; $$ is i… https://t.co/CpV9jtwDok	|	$#%
25	|	Tue Oct 03 15:48:40 +0000 2017	|	Sen Dianne Feinstein	|	476256944	|	915242203454349313	|	null	|	76% of Americans agree: #Dreamers deserve a path to citizenship. Congress MUST work together to pass the #DreamAct.	|	$#%
26	|	Tue Oct 03 15:49:47 +0000 2017	|	Elizabeth Warren	|	970207298	|	915242486859169793	|	null	|	I have more questions for @WellsFargo CEO Sloan about his plans for his lower-level employees. Watch now: https://t.co/nm6TAiiTU6	|	$#%
27	|	Tue Oct 03 15:50:27 +0000 2017	|	Ed Markey	|	21406834	|	915242652576239616	|	null	|	.@SenCoryGardner and I intro'd expanded #NorthKorea policy &amp; sanctions legislation. We need to isolate Pyongyang. https://t.co/yjlZREdOTM	|	$#%
28	|	Tue Oct 03 15:50:48 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	915242739045998592	|	null	|	#DREAMers are working, going to school, supporting their families &amp; need the certainty to keep contributing. We need to pass the #DreamAct	|	$#%
29	|	Tue Oct 03 15:51:54 +0000 2017	|	John McCain	|	19394188	|	915243019233841157	|	null	|	Intro'd resolution w/ @SenatorDurbin today promoting democracy, human rights &amp; rule of law in #Cambodia https://t.co/b9Jhn2asbf	|	$#%
30	|	Tue Oct 03 15:57:28 +0000 2017	|	Tom Cotton	|	968650362	|	915244418776563713	|	null	|	ICYMI – I talked with Kevin Miller on @newsradio1029 this morning. LISTEN: https://t.co/dFav4Le72a	|	$#%
31	|	Tue Oct 03 15:57:34 +0000 2017	|	John McCain	|	19394188	|	915244445959942145	|	null	|	6 wks after @POTUS announced #Afghanistan strategy, we still don’t know the plan for success. Congress &amp; the Americ… https://t.co/sQff0hCYZk	|	$#%
32	|	Tue Oct 03 16:01:52 +0000 2017	|	Leader McConnell	|	1249982359	|	915245525523451904	|	null	|	Along w/ those in the #Senate, I'm committed to continuing to do our part to support relief along with @FEMA, @DeptofDefense, and the Admin	|	$#%
33	|	Tue Oct 03 16:02:01 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	915245562647269377	|	null	|	We need the #DreamAct bc the diversity of our residents is part of WA's strategy for moving forward, for a better economy &amp; a better society	|	$#%
34	|	Tue Oct 03 16:01:55 +0000 2017	|	Senator Patty Murray	|	293131808	|	915245540115468289	|	null	|	Today, Republicans in the House are expected to spend time doubling down on their tired, political playbook. https://t.co/O0kC3PrFer	|	$#%
35	|	Tue Oct 03 16:02:51 +0000 2017	|	Sen. Lisa Murkowski	|	18061669	|	915245774753161216	|	null	|	Anchorage &amp; Yukon-Koyukuk School District were awarded 2/5 of the first-ever Native American Language program grants https://t.co/tBV14cFTFp	|	$#%
36	|	Tue Oct 03 16:03:42 +0000 2017	|	Tammy Duckworth	|	1058520120	|	915245986968227841	|	null	|	1 of the best things we can do for our state&amp; nation is invest in infrastructure—something both parties can agree on https://t.co/EEjGwOKH4h	|	$#%
37	|	Tue Oct 03 16:04:02 +0000 2017	|	Chuck Schumer	|	17494010	|	915246071378583553	|	null	|	Meet Denisse, DACA recipient &amp; NY med student testifying today @ Judiciary Cmmte Hearing. This is her home #DreamAct https://t.co/GOoROEsBTw	|	$#%
38	|	Tue Oct 03 16:06:11 +0000 2017	|	Senator Joe Donnelly	|	216503958	|	915246611252563969	|	null	|	Joe and @SenRonJohnson are urging the House to pass their Right to Try bill, which passed the Senate unanimously ea… https://t.co/3FP1iqLU7X	|	$#%
39	|	Tue Oct 03 16:06:38 +0000 2017	|	Sen. Lisa Murkowski	|	18061669	|	915246726486921216	|	null	|	Anchorage &amp; Yukon-Koyukuk School District were awarded 2/5 Native Language education grants-the first of their kind! https://t.co/tBV14cFTFp	|	$#%
40	|	Tue Oct 03 16:07:59 +0000 2017	|	Sen. Jeanne Shaheen	|	109287731	|	915247066460430337	|	null	|	Horrified by allegations of the abuse of women &amp; girls in detention camps. Perpetrators must be held accountable. https://t.co/LutwLzKn2s	|	$#%
41	|	Tue Oct 03 16:09:31 +0000 2017	|	Senator Angus King	|	1068481578	|	915247449752707073	|	null	|	Congrats to Dr. Jeffrey Hall of Cambridge, Maine – I would have sent well wishes sooner, but my circadian rhythm mu… https://t.co/KSLwFSrKYh	|	$#%
42	|	Tue Oct 03 16:13:58 +0000 2017	|	Senator Jeff Merkley	|	29201047	|	915248570437111808	|	null	|	If this is a real We the People republic, voters should choose their reps, not the other way around. https://t.co/KPKdlHClFA	|	$#%
43	|	Tue Oct 03 16:15:05 +0000 2017	|	Johnny Isakson	|	78403308	|	915248853472989184	|	null	|	I’m so proud to welcome these outstanding @REACHGA scholars to D.C. this week and encourage their continued success… https://t.co/Ad7iiyTTc2	|	$#%
44	|	Tue Oct 03 16:15:01 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	915248834627776512	|	null	|	We need a #PuertoRicoRelief coordinator at the @WhiteHouse for all the various agencies that'll have to work on the recovery of #PuertoRico	|	$#%
45	|	Tue Oct 03 16:16:49 +0000 2017	|	Sen Dianne Feinstein	|	476256944	|	915249287415681024	|	null	|	#DACA participants are highly-motivated individuals brought here through no choice of their own. Let’s help them un… https://t.co/z647IVV2vJ	|	$#%
46	|	Tue Oct 03 16:18:46 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	915249778497392640	|	null	|	Corporations in the past carried much bigger share of govt funding; Republicans would drive it even lower. People m… https://t.co/tbDNwN8uBN	|	$#%
47	|	Tue Oct 03 16:20:01 +0000 2017	|	Sen. Maria Cantwell	|	117501995	|	915250093896241152	|	null	|	The American taxpayers deserve answers. https://t.co/GFUa7u5SBS	|	$#%
48	|	Tue Oct 03 16:19:59 +0000 2017	|	Senator Jim Risch	|	1096059529	|	915250083775565824	|	null	|	Thanks for the invitation! https://t.co/f7IGwYeKJV	|	$#%
49	|	Tue Oct 03 16:24:43 +0000 2017	|	Sheldon Whitehouse	|	242555999	|	915251275389861888	|	null	|	Need answers on DOJ's coordination w/ sham commission. Would be low moment for DOJ to enable this “voter fraud” myt… https://t.co/bacDXoEbbk	|	$#%
50	|	Tue Oct 03 16:29:47 +0000 2017	|	Martin Heinrich	|	1099199839	|	915252552001835008	|	null	|	Today I told US International Trade Commission that we need to #SaveSolarJobs &amp; stop tariffs on solar. Full remarks: https://t.co/Rlbs8MbEhD	|	$#%
51	|	Tue Oct 03 16:31:05 +0000 2017	|	Martin Heinrich	|	1099199839	|	915252879157551105	|	1099199839	|	Before testifying I sent ITC a letter urging them not to impose tariffs that would negatively affect #NM economy &amp;… https://t.co/QWpSGDPk7V	|	$#%
52	|	Tue Oct 03 16:31:26 +0000 2017	|	Martin Heinrich	|	1099199839	|	915252967477059584	|	1099199839	|	Imposing high tariffs on imported solar panels would set back our nation’s efforts to transition to #CleanEnergy threaten #SolarJobs.	|	$#%
53	|	Tue Oct 03 16:32:42 +0000 2017	|	Martin Heinrich	|	1099199839	|	915253287011614720	|	1099199839	|	Jobs in #NM solar industry increased by 54 percent last year. That’s why I’m fighting to #SaveSolarJobs https://t.co/vH2Jp9U7qT	|	$#%
54	|	Tue Oct 03 16:34:02 +0000 2017	|	Brian Schatz	|	47747074	|	915253622216253440	|	null	|	This is shameful. I'm glad they are helping but the fed govt should be able to keep Americans safe and secure witho… https://t.co/pb6GgGI0O8	|	$#%
55	|	Tue Oct 03 16:34:06 +0000 2017	|	Ron Wyden	|	250188760	|	915253638762762241	|	null	|	American elections must be protected against cyber attacks. Wrote to 6 major voting machine manufacturers on their… https://t.co/yYy2RKLrLG	|	$#%
56	|	Tue Oct 03 16:35:02 +0000 2017	|	Elizabeth Warren	|	970207298	|	915253870992822272	|	null	|	.@WellsFargo CEO Tim Sloan enabled the bank’s massive fake accounts scam, got rich off it, &amp; helped cover it up. He… https://t.co/tY9lqllIhb	|	$#%
57	|	Tue Oct 03 16:35:41 +0000 2017	|	Sen. Patrick Leahy	|	242836537	|	915254037892739072	|	null	|	DREAMers were brought to our country as children. It’s past time for Congress’ to pass the #DreamAct to permanently protect them.	|	$#%
58	|	Tue Oct 03 16:36:55 +0000 2017	|	Sen. Patrick Leahy	|	242836537	|	915254344718716928	|	null	|	At today’s hg I questioned DHS officials about the Administration’s plans to deprive #DACA recipients of their jobs &amp; legal status.	|	$#%
59	|	Tue Oct 03 16:37:48 +0000 2017	|	Chris Murphy	|	150078976	|	915254567952113664	|	null	|	In the 477 days between the horrific shootings at Pulse nightclub and Las Vegas, there were 521 mass shootings. https://t.co/FWpEymJ11q	|	$#%
60	|	Tue Oct 03 16:38:45 +0000 2017	|	Senator Dick Durbin	|	247334603	|	915254807153270784	|	null	|	Dreamers: your courage inspired us &amp; kept us together. Your faith in the only country you have called home should be rewarded. #DreamActNow	|	$#%
61	|	Tue Oct 03 16:40:55 +0000 2017	|	Jim Inhofe	|	7270292	|	915255354056986624	|	null	|	I questioned #SecDef and @thejointstaff about the current conditions in Afghanistan.  Watch the full video here ➡️ https://t.co/ubexAqJgOj	|	$#%
62	|	Tue Oct 03 16:41:54 +0000 2017	|	Ron Wyden	|	250188760	|	915255599461363712	|	null	|	Big congrats to @OregonState researchers for this innovative help they're providing to Hurricane Harvey survivors: https://t.co/twP1ki00SP	|	$#%
63	|	Tue Oct 03 16:42:18 +0000 2017	|	Brian Schatz	|	47747074	|	915255701794156544	|	null	|	Seeing American suffering, President says Puerto Rico "throws budget out of whack." I say let's not cut taxes for our richest citizens.	|	$#%
64	|	Tue Oct 03 16:44:54 +0000 2017	|	Sen. Maggie Hassan	|	946549322	|	915256356415922176	|	null	|	The Puerto Rican islands of Vieques and Culebra have been without water and power for over a week. @POTUS must do m… https://t.co/J7ZxWkeHui	|	$#%
